"type","id","author","editor","advisor","note","title","pages","article_no","num_pages","keywords","doi","journal","issue_date","volume","issue_no","description","month","year","issn","booktitle","acronym","edition","isbn","conf_loc","publisher","publisher_loc"
"article","1228736","Aaron  Powers and Sara  Kiesler and Susan  Fussell and Cristen  Torrey","","","","Comparing a Computer Agent with a Humanoid Robot","145--152","","8","embodiment, human-robot interaction, social robots","10.1145/1228716.1228736","","","","","","","2007","","Proceedings of the ACM/IEEE International Conference on Human-robot Interaction","HRI '07","","978-1-59593-617-2","Arlington, Virginia, USA","ACM","New York, NY, USA"
"article","2485246","Bijan  Ranjbar-Sahraei and Sjriek  Alers and Karl  Tuyls and gerhard  Weiss","","","","StiCo in Action","1403--1404","","2","multi-robot coverage, stigmergy, swarm robotics","","","","","","","","2013","","Proceedings of the 2013 International Conference on Autonomous Agents and Multi-agent Systems","AAMAS '13","","978-1-4503-1993-5","St. Paul, MN, USA","International Foundation for Autonomous Agents and Multiagent Systems","Richland, SC"
"book","2029037","Scott  Preston","","","","","","","","","","","","","","","","2011","","Robotics Programming 101","","","146113594X, 9781461135944","","CreateSpace","Paramount, CA"
"phdthesis","932813","Ali Safak Sekmen","","","Director-Mitch  Wilkes","","","","","","","","","","","","","2000","","Human-robot Interaction Methodology","","","0-493-04253-9","","Vanderbilt University","Nashville, TN, USA"
"article","3020242","Natalia  Reich-Stiebert and Friederike  Eyssel","","","","(Ir)Relevance of Gender?: On the Influence of Gender Stereotypes on Learning with a Robot","166--176","","11","educational robots, gender stereotypes, human-robot interaction, learning, robot evaluation","10.1145/2909824.3020242","","","","","","","2017","","Proceedings of the 2017 ACM/IEEE International Conference on Human-Robot Interaction","HRI '17","","978-1-4503-4336-7","Vienna, Austria","ACM","New York, NY, USA"
"article","3034808","Xiang Zhi  Tan and Aaron  Steinfeld","","","","Using Robot Manipulation to Assist Navigation by People Who Are Blind or Low Vision","379--380","","2","assistive robots, haptic interface, indoor navigation","10.1145/3029798.3034808","","","","","","","2017","","Proceedings of the Companion of the 2017 ACM/IEEE International Conference on Human-Robot Interaction","HRI '17","","978-1-4503-4885-0","Vienna, Austria","ACM","New York, NY, USA"
"book","1721889","David  Cook","","","","","","","","","","","","","","","","2010","","Robot Building for Beginners","","2nd","1430227486, 9781430227489","","Apress","Berkely, CA, USA"
"article","2560046","Helge  Ritter","","","","From Interaction Science to Cognitive Interaction Technology","65--65","","1","cognitive interaction technology, cognitive robotics, humanoid robots","10.1145/2559636.2560046","","","","","","","2014","","Proceedings of the 2014 ACM/IEEE International Conference on Human-robot Interaction","HRI '14","","978-1-4503-2658-2","Bielefeld, Germany","ACM","New York, NY, USA"
"book","2484532","Mark  Rollins","","","","","","","","","","","","","","","","2013","","LEGO Technic Robotics","","1st","1430249803, 9781430249801","","Apress","Berkely, CA, USA"
"book","984433","David  Cook","","","","","","","","","","","","","","","","2004","","Intermediate Robot Building","","","1590593731","","APress",""
"book","2631418","Vishnu  Nath and Stephen E. Levinson","","","","","","","","","","","","","","","","2014","","Autonomous Military Robotics","","","3319056050, 9783319056050","","Springer Publishing Company, Incorporated",""
"phdthesis","1713785","Eric  Schweikardt","","","","","","","","","","","","","","","","2009","","Designing Modular Robots","","","978-1-109-09077-2","","Carnegie Mellon University","Pittsburgh, PA, USA"
"article","2838595","Manohar  Srikanth and Kavita  Bala and Fr&#233;do  Durand","","","","Computational Rim Illumination of Dynamic Subjects Using Aerial Robots","142--154","","13","Aerial robots, Computational illumination","10.1016/j.cag.2015.03.007","Comput. Graph.","November 2015","52","C","","November","2015","0097-8493","","","","","","Pergamon Press, Inc.","Elmsford, NY, USA"
"article","1733215","David J. Braun and Michael  Goldfarb","","","","A Controller for Dynamic Walking in Bipedal Robots","2916--2921","","6","dynamics, legged robots","","","","","","","","2009","","Proceedings of the 2009 IEEE/RSJ International Conference on Intelligent Robots and Systems","IROS'09","","978-1-4244-3803-7","St. Louis, MO, USA","IEEE Press","Piscataway, NJ, USA"
"article","2023419","Cecilio  Angulo and Joan  Comas and Diego  Pardo","","","","Aibo Jukebox: A Robot Dance Interactive Experience","605--612","","8","dancing robots, human robot interaction, interactive environment","","","","","","","","2011","","Proceedings of the 11th International Conference on Artificial Neural Networks Conference on Advances in Computational Intelligence - Volume Part II","IWANN'11","","978-3-642-21497-4","Torremolinos-M&#225;laga, Spain","Springer-Verlag","Berlin, Heidelberg"
"article","1423791","Dzmitry  Tsetserukou and Naoki  Kawakami and Susumu  Tachi","","","","An Approach to Contact Force Vector Determination and Its Implementation to Provide Intelligent Tactile Interaction with Environment","151--156","","6","Human-Robot interaction, sensitive robot arm","10.1007/978-3-540-69057-3_17","","","","","","","2008","","Proceedings of the 6th International Conference on Haptics: Perception, Devices and Scenarios","EuroHaptics '08","","978-3-540-69056-6","Madrid, Spain","Springer-Verlag","Berlin, Heidelberg"
"article","1957794","Kuanhao  Zheng and Dylan F. Glas and Takayuki  Kanda and Hiroshi  Ishiguro and Norihiro  Hagita","","","","How Many Social Robots Can One Operator Control?","379--386","","8","human-robot interaction, modeling, simulation, social robots","10.1145/1957656.1957794","","","","","","","2011","","Proceedings of the 6th International Conference on Human-robot Interaction","HRI '11","","978-1-4503-0561-7","Lausanne, Switzerland","ACM","New York, NY, USA"
"article","1633811","Hongchao  Fang and Soh Khim Ong and Andrew Yeh-Ching Nee","","","","Robot Programming Using Augmented Reality","13--20","","8","Robot Programming, Augmented Reality, Robot Registration, Human-Robot Interaction","10.1109/CW.2009.14","","","","","","","2009","","Proceedings of the 2009 International Conference on CyberWorlds","CW '09","","978-0-7695-3791-7","","IEEE Computer Society","Washington, DC, USA"
"article","2617416","Cetin  Mericli and Steven D. Klee and Jack  Paparian and Manuela  Veloso","","","","An Interactive Approach for Situated Task Specification Through Verbal Instructions","1069--1076","","8","human-robot interaction, robot task specification","","","","","","","","2014","","Proceedings of the 2014 International Conference on Autonomous Agents and Multi-agent Systems","AAMAS '14","","978-1-4503-2738-1","Paris, France","International Foundation for Autonomous Agents and Multiagent Systems","Richland, SC"
"article","2771916","Michal  Gordon and Cynthia  Breazeal","","","","Designing a Virtual Assistant for In-car Child Entertainment","359--362","","4","cars and robots, children and robots, driving assistant, intelligent agents","10.1145/2771839.2771916","","","","","","","2015","","Proceedings of the 14th International Conference on Interaction Design and Children","IDC '15","","978-1-4503-3590-4","Boston, Massachusetts","ACM","New York, NY, USA"
"article","1734545","Victoria  Groom and Jimmy  Chen and Theresa  Johnson and F. Arda Kara and Clifford  Nass","","","","Critic, Compatriot, or Chump?: Responses to Robot Blame Attribution","211--218","","8","blame attribution, face-threatening acts, human-robot interaction, politeness","","","","","","","","2010","","Proceedings of the 5th ACM/IEEE International Conference on Human-robot Interaction","HRI '10","","978-1-4244-4893-7","Osaka, Japan","IEEE Press","Piscataway, NJ, USA"
"article","2463525","Atil  Iscen and Adrian  Agogino and Vytas  SunSpiral and Kagan  Tumer","","","","Controlling Tensegrity Robots Through Evolution","1293--1300","","8","evolution, robotics, tensegrity","10.1145/2463372.2463525","","","","","","","2013","","Proceedings of the 15th Annual Conference on Genetic and Evolutionary Computation","GECCO '13","","978-1-4503-1963-8","Amsterdam, The Netherlands","ACM","New York, NY, USA"
"article","1987588","Amnon  Amir and Or  Zuk","","","","Bacterial Community Reconstruction Using Compressed Sensing","1--15","","15","","","","","","","","","2011","","Proceedings of the 15th Annual International Conference on Research in Computational Molecular Biology","RECOMB'11","","978-3-642-20035-9","Vancouver, BC, Canada","Springer-Verlag","Berlin, Heidelberg"
"article","545493","Sudipto  Guha and Refael  Hassin and Samir  Khuller and Einat  Or","","","","Capacitated Vertex Covering with Applications","858--865","","8","","","","","","","","","2002","","Proceedings of the Thirteenth Annual ACM-SIAM Symposium on Discrete Algorithms","SODA '02","","0-89871-513-X","San Francisco, California","Society for Industrial and Applied Mathematics","Philadelphia, PA, USA"
"book","3055677","Carol  Fairchild and Thomas L. Harman","","","","","","","","","","","","","","","","2016","","ROS Robotics By Example","","","1782175199, 9781782175193","","Packt Publishing",""
"article","2562837","Guanglong  Du and Ping  Zhang","","","","Markerless Human-robot Interface for Dual Robot Manipulators Using Kinect Sensor","150--159","","10","Human-robot interface, Kinect, Markerless, Robot teleoperation","10.1016/j.rcim.2013.09.003","Robot. Comput.-Integr. Manuf.","April, 2014","30","2","","April","2014","0736-5845","","","","","","Pergamon Press, Inc.","Tarrytown, NY, USA"
"article","986152","David  Bruemmer and Douglas  Few and Michael  Goodrich and Donald  Norman and Nilanjan  Sarkar and Jean  Scholtz and Bill  Smart and Mark L. Swinson and Holly  Yanco","","","","How to Trust Robots Further Than We Can Throw Them","1576--1577","","2","human-robot interaction, robot control, trust","10.1145/985921.986152","","","","","","","2004","","CHI '04 Extended Abstracts on Human Factors in Computing Systems","CHI EA '04","","1-58113-703-6","Vienna, Austria","ACM","New York, NY, USA"
"article","2371659","Andris  Ambainis and Julia  Kempe and Or  Sattath","","","","A Quantum Lov\'{A}Sz Local Lemma","24:1--24:24","24","24","Local lemma, probabilistic method, quantum computation, quanum SAT, random quantum SAT","10.1145/2371656.2371659","J. ACM","October 2012","59","5","","November","2012","0004-5411","","","","","","ACM","New York, NY, USA"
"article","1957799","David  St-Onge and Nicolas  Reeves and Christian  Kroos and Maher  Hanafi and Damith  Herath and   Stelarc","","","","The Floating Head Experiment","395--396","","2","flying robot, robotic art, sails, thambs","10.1145/1957656.1957799","","","","","","","2011","","Proceedings of the 6th International Conference on Human-robot Interaction","HRI '11","","978-1-4503-0561-7","Lausanne, Switzerland","ACM","New York, NY, USA"
"technical report","869897","Salas  Alex Povitsky and Manuel D.","","","","","","","","","","","","","","","","2001","","Lagrangian Approach to Jet Mixing and Optimization of the Reactor for Production of Carbon Nanotubes","","","","","Institute for Computer Applications in Science and Engineering (ICASE)",""
"article","3063045","Krzysztof  Walas and Dominik  Belter","","","","Supporting Locomotive Functions of a Six-legged Walking Robot","363--377","","15","foothold placement, robotics, static stability, walking robots","10.2478/v10006-011-0027-9","Int. J. Appl. Math. Comput. Sci.","6 2011","21","2","","June","2011","1641-876X","","","","","","Walter de Gruyter &amp; Co.","Hawthorne, NJ, USA"
"article","2767691","Axel  Tidemann and &#216;yvind  Brandtsegg","","","","[Self.]: An Interactive Art Installation That Embodies Artificial Intelligence and Creativity: A Demonstration","153--154","","2","artificial intelligence, interactive, robot","10.1145/2757226.2767691","","","","","","","2015","","Proceedings of the 2015 ACM SIGCHI Conference on Creativity and Cognition","C&#38;C '15","","978-1-4503-3598-0","Glasgow, United Kingdom","ACM","New York, NY, USA"
"article","2447665","Phoebe  Liu and Dylan F. Glas and Takayuki  Kanda and Hiroshi  Ishiguro and Norihiro  Hagita","","","","It's Not Polite to Point: Generating Socially-appropriate Deictic Behaviors Towards People","267--274","","8","human-robot interaction, pointing gesture, social robots","","","","","","","","2013","","Proceedings of the 8th ACM/IEEE International Conference on Human-robot Interaction","HRI '13","","978-1-4673-3055-8","Tokyo, Japan","IEEE Press","Piscataway, NJ, USA"
"article","2871361","Or  Sattath","","","","An Almost Sudden Jump in Quantum Complexity","1048--1059","","12","QMA, complexity, quantum satisfiability","","Quantum Info. Comput.","September 2015","15","11-12","","September","2015","1533-7146","","","","","","Rinton Press, Incorporated","Paramus, NJ"
"article","2731367","Abdallah  Kassir and Robert  Fitch and Salah  Sukkarieh","","","","Communication-aware Information Gathering with Dynamic Information Flow","173--200","","28","Networked robots, field robots, sensor fusion","10.1177/0278364914556911","Int. J. Rob. Res.","February  2015","34","2","","February","2015","0278-3649","","","","","","Sage Publications, Inc.","Thousand Oaks, CA, USA"
